Datetime,Adj Close,Close,High,Low,Open,Volume
2025-02-03,133.29,133.29,133.58,132.41,132.47,1.53M
2025-02-04,133.12,133.12,133.29,132.72,132.93,1.19M
2025-02-05,133.55,133.55,133.71,133.18,133.24,1.11M
2025-02-06,133.41,133.41,133.61,133.13,133.45,1.26M
2025-02-07,133.25,133.25,133.69,132.95,133.42,1.10M
2025-02-10,133.50,133.50,133.61,133.21,133.40,791.97K
2025-02-11,132.70,132.70,133.53,132.64,133.51,1.11M
2025-02-12,132.15,132.15,132.79,132.10,132.72,1.24M
2025-02-13,132.85,132.85,132.97,132.19,132.26,1.17M
2025-02-14,132.85,132.85,132.94,132.54,132.87,1.04M
2025-02-17,132.22,132.22,132.58,131.98,132.51,1.00M
2025-02-18,132.10,132.10,132.16,131.72,132.12,961.22K
2025-02-19,131.51,131.51,131.94,131.26,131.87,1.30M
2025-02-20,131.60,131.60,131.67,131.30,131.47,974.96K
2025-02-21,132.38,132.38,132.60,131.56,131.59,1.23M
2025-02-24,131.52,131.52,131.61,130.95,131.60,16.57K
2025-02-25,131.60,131.60,131.70,131.01,131.01,27.79K
2025-02-26,131.79,131.79,132.08,131.35,131.54,63.60K
2025-02-27,132.01,132.01,132.08,131.61,132.03,821.59K
2025-02-28,132.30,132.30,132.56,132.04,132.07,788.58K
2025-03-03,131.96,131.96,132.04,131.59,131.82,166.13K
