DATE,COUNTRY,EVENTS,ACTUAL,PREVIOUS,CONSENSUS,FORECAST,TIER
Tuesday January 07 2025,,,,,,,
05:31 AM,GB,BRC Retail Sales Monitor YoYDEC,3.1%,-3.4%,-0.2%,-2.8%,2.0
06:00 AM,AU,Building Permits MoM PrelNOV,-3.6%,5.2%,-1%,-1.2%,2.0
06:00 AM,AU,Private House Approvals MoM PrelNOV,-1.7%,-4.0%,,-0.6%,3.0
09:05 AM,JP,10-Year JGB Auction,1.140%,1.084%,,,3.0
09:05 AM,JP,3-Month Bill Auction,0.2178%,0.1255%,,,3.0
10:30 AM,SG,MAS 12-Week Bill Auction,3.19%,3.19%,,,3.0
10:30 AM,SG,MAS 4-Week Bill Auction,3.24%,3.31%,,,3.0
10:30 AM,KR,30-Year KTB Auction,2.705%,2.545%,,,3.0
12:30 PM,GB,Halifax House Price Index MoMDEC,-0.2%,1.2%,0.8%,0.8%,2.0
12:30 PM,GB,Halifax House Price Index YoYDEC,3.3%,4.7%,,4.6%,2.0
01:15 PM,FR,Inflation Rate YoY PrelDEC,1.3%,1.3%,1.5%,1.6%,1.0
01:15 PM,FR,Inflation Rate MoM PrelDEC,0.2%,-0.1%,0.3%,0.3%,2.0
01:15 PM,FR,Harmonised Inflation Rate YoY PrelDEC,1.8%,1.7%,1.9%,1.8%,3.0
01:15 PM,FR,Harmonised Inflation Rate MoM PrelDEC,0.2%,-0.1%,0.4%,0.4%,3.0
01:30 PM,BR,IPC-Fipe Inflation MoMDEC,0.34%,1.17%,,0.8%,3.0
01:30 PM,CN,Foreign Exchange ReservesDEC,$3.202T,$3.266T,$3.25T,$3.25T,3.0
02:00 PM,EA,HCOB Construction PMIDEC,42.9,42.7,,45,3.0
02:00 PM,FR,HCOB Construction PMIDEC,42.6,43.7,,44,3.0
02:00 PM,DE,HCOB Construction PMIDEC,37.8,38,,37.8,2.0
02:00 PM,IT,HCOB Construction PMIDEC,51.2,48.5,,49,3.0
02:30 PM,EA,Consumer Inflation ExpectationsNOV,2.6%,2.5%,,,3.0
02:30 PM,IT,Unemployment RateNOV,5.7%,5.8%,6%,5.8%,1.0
02:30 PM,SG,Foreign Exchange ReservesDEC,S$506.7B,S$505.7B,,S$502.0B,3.0
03:00 PM,GB,S&P Global Construction PMIDEC,53.3,55.2,54.4,54.8,2.0
03:10 PM,ES,12-Month Letras Auction,2.367%,2.207%,,,3.0
03:10 PM,ES,6-Month Letras Auction,2.535%,2.552%,,,3.0
03:30 PM,EA,Inflation Rate YoY FlashDEC,2.4%,2.2%,2.4%,2.4%,1.0
03:30 PM,EA,Unemployment RateNOV,6.3%,6.3%,6.3%,6.4%,1.0
