DATETIME,COUNTRY,EVENTS,ACTUAL,CONSENSUS,FORECAST,TIER
2025-01-01 17:00:00-05:00,AU,S&P Global Australia Manufacturing PMI FinalDEC,47.8,48.2,48.2,2.0
2025-01-01 19:00:00-05:00,SG,GDP Growth Rate QoQ AdvQ4,0.1%,2%,0.8%,2.0
2025-01-01 19:00:00-05:00,SG,GDP Growth Rate YoY AdvQ4,4.3%,3.8%,3.1%,2.0
2025-01-01 19:30:00-05:00,ID,S&P Global Manufacturing PMIDEC,51.2,,50,3.0
2025-01-01 19:30:00-05:00,SG,URA Property Index QoQ PrelQ4,2.3%,,0.5%,3.0
2025-01-01 19:30:00-05:00,KR,S&P Global Manufacturing PMIDEC,49,,49,2.0
2025-01-01 20:45:00-05:00,CN,Caixin Manufacturing PMIDEC,50.5,51.7,51.8,1.0
2025-01-01 23:00:00-05:00,ID,Core Inflation Rate YoYDEC,2.26%,2.28%,2.3%,3.0
2025-01-01 23:00:00-05:00,ID,Inflation Rate YoYDEC,1.57%,1.6%,1.7%,2.0
2025-01-01 23:00:00-05:00,ID,Inflation Rate MoMDEC,0.44%,0.44%,0.4%,3.0
2025-01-01 23:40:00-05:00,ID,Tourist Arrivals YoYNOV,17.27%,,,3.0
2025-01-01 23:40:00-05:00,AU,CoreLogic Dwelling Prices MoMDEC,-0.1%,,0.1%,3.0
2025-01-02 00:00:00-05:00,IN,HSBC Manufacturing PMI FinalDEC,56.4,57.8,56.4,3.0
2025-01-02 00:30:00-05:00,AU,Commodity Prices YoYDEC,-10.7%,,1.4%,3.0
2025-01-02 02:00:00-05:00,TR,Istanbul Chamber of Industry Manufacturing PMIDEC,49.1,,48.5,3.0
2025-01-02 02:00:00-05:00,GB,Nationwide Housing Prices YoYDEC,4.7%,3.8%,4.0%,2.0
2025-01-02 02:00:00-05:00,GB,Nationwide Housing Prices MoMDEC,0.7%,0.1%,0.8%,2.0
2025-01-02 03:15:00-05:00,ES,HCOB Manufacturing PMIDEC,53.3,53.5,53.3,2.0
2025-01-02 03:45:00-05:00,IT,HCOB Manufacturing PMIDEC,46.2,44.8,45,2.0
2025-01-02 03:50:00-05:00,FR,HCOB Manufacturing PMI FinalDEC,41.9,41.9,41.9,2.0
2025-01-02 03:55:00-05:00,DE,HCOB Manufacturing PMI FinalDEC,42.5,42.5,42.5,2.0
2025-01-02 04:00:00-05:00,EA,Loans to Households YoYNOV,0.9%,0.9%,0.8%,3.0
2025-01-02 04:00:00-05:00,EA,M3 Money Supply YoYNOV,3.8%,3.5%,3.5%,3.0
2025-01-02 04:00:00-05:00,EA,HCOB Manufacturing PMI FinalDEC,45.1,45.2,45.2,2.0
2025-01-02 04:00:00-05:00,EA,Loans to Companies YoYNOV,1%,,1.3%,3.0
2025-01-02 04:30:00-05:00,GB,S&P Global Manufacturing PMI FinalDEC,47,47.3,47.3,2.0
2025-01-02 07:00:00-05:00,US,MBA Purchase IndexDEC/27,136.7,,,3.0
2025-01-02 07:00:00-05:00,US,MBA Mortgage Market IndexDEC/27,174.9,,,3.0
2025-01-02 07:00:00-05:00,US,MBA Mortgage ApplicationsDEC/27,-12.6%,,,3.0
2025-01-02 07:00:00-05:00,US,MBA Mortgage Refinance IndexDEC/27,395.1,,,3.0
2025-01-02 07:00:00-05:00,US,MBA 30-Year Mortgage RateDEC/27,6.97%,,,2.0
2025-01-02 07:00:00-05:00,ES,New Car Sales YoYDEC,28.8%,,3.0%,3.0
2025-01-02 08:00:00-05:00,BR,S&P Global Manufacturing PMIDEC,50.4,,52,3.0
2025-01-02 08:00:00-05:00,SG,SIPMM Manufacturing PMIDEC,51.1,,51.3,3.0
2025-01-02 08:30:00-05:00,US,Initial Jobless ClaimsDEC/28,211K,222K,222.0K,2.0
2025-01-02 08:30:00-05:00,US,Continuing Jobless ClaimsDEC/21,1844K,1890K,1895.0K,3.0
2025-01-02 08:30:00-05:00,US,Jobless Claims 4-week AverageDEC/28,223.25K,,,3.0
2025-01-02 09:30:00-05:00,CA,S&P Global Manufacturing PMIDEC,52.2,51.9,51.5,2.0
2025-01-02 09:45:00-05:00,US,S&P Global Manufacturing PMI FinalDEC,49.4,48.3,48.3,2.0
2025-01-02 10:00:00-05:00,MX,S&P Global Manufacturing PMIDEC,49.8,,50,3.0
2025-01-02 10:00:00-05:00,US,Construction Spending MoMNOV,0%,0.3%,0.4%,3.0
2025-01-02 11:00:00-05:00,US,EIA Gasoline Production ChangeDEC/27,-0.959M,,,3.0
2025-01-02 11:00:00-05:00,US,EIA Heating Oil Stocks ChangeDEC/27,-0.416M,,,3.0
2025-01-02 11:00:00-05:00,US,EIA Distillate Stocks ChangeDEC/27,6.406M,-0.1M,,3.0
2025-01-02 11:00:00-05:00,US,EIA Crude Oil Stocks ChangeDEC/27,-1.178M,-2.75M,,2.0
2025-01-02 11:00:00-05:00,US,EIA Refinery Crude Runs ChangeDEC/27,0.041M,,,3.0
2025-01-02 11:00:00-05:00,US,EIA Crude Oil Imports ChangeDEC/27,0.323M,,,3.0
2025-01-02 11:00:00-05:00,US,EIA Gasoline Stocks ChangeDEC/27,7.717M,0.7M,,2.0
2025-01-02 11:00:00-05:00,US,EIA Cushing Crude Oil Stocks ChangeDEC/27,-0.142M,,,3.0
2025-01-02 11:00:00-05:00,US,EIA Distillate Fuel Production ChangeDEC/27,0.099M,,,3.0
2025-01-02 11:30:00-05:00,US,4-Week Bill Auction,4.265%,,,3.0
2025-01-02 11:30:00-05:00,US,8-Week Bill Auction,4.240%,,,3.0
2025-01-02 12:00:00-05:00,IT,New Car Registrations YoYDEC,-4.9%,,,3.0
2025-01-02 12:00:00-05:00,US,30-Year Mortgage RateJAN/02,6.91%,,,3.0
2025-01-02 12:00:00-05:00,US,15-Year Mortgage RateJAN/02,6.13%,,,3.0
2025-01-02 13:00:00-05:00,US,17-Week Bill Auction,4.195%,,,3.0
2025-01-02 17:45:00-05:00,US,Fed Balance SheetJAN/01,$6.85T,,,3.0
2025-01-02 18:20:00-05:00,AR,Tax RevenueDEC,ARS13015B,,ARS 3564.9B,3.0
2025-01-03 00:00:00-05:00,SG,Retail Sales YoYNOV,-0.7%,,,3.0
2025-01-03 00:00:00-05:00,SG,Retail Sales MoMNOV,-2.8%,,,3.0
2025-01-03 02:00:00-05:00,TR,PPI MoMDEC,0.4%,,0.5%,3.0
