Datetime,Adj Close,Close,High,Low,Open,Volume,US/Eastern Timezone
2008-03-04,117.75,117.75,117.89,117.16,117.28,,2008-03-04 18:59:59-05:00
2008-03-05,117.24,117.24,117.67,117.16,117.62,,2008-03-05 18:59:59-05:00
2008-03-06,117.4,117.4,117.53,117.24,117.35,,2008-03-06 18:59:59-05:00
2008-03-07,117.41,117.41,117.99,117.04,117.45,,2008-03-07 18:59:59-05:00
2008-03-10,118.05,118.05,118.23,117.59,117.67,,2008-03-10 19:59:59-04:00
2008-03-11,117.47,117.47,118.0,117.21,117.89,,2008-03-11 19:59:59-04:00
2008-03-12,117.63,117.63,117.83,117.09,117.55,,2008-03-12 19:59:59-04:00
2008-03-13,117.71,117.71,118.12,117.5,117.9,,2008-03-13 19:59:59-04:00
2008-03-14,117.83,117.83,118.2,117.25,117.74,,2008-03-14 19:59:59-04:00
2008-03-17,118.23,118.23,118.48,118.0,118.24,,2008-03-17 19:59:59-04:00
2008-03-18,117.59,117.59,118.18,117.35,118.15,,2008-03-18 19:59:59-04:00
2008-03-19,117.56,117.56,118.06,117.26,117.59,,2008-03-19 19:59:59-04:00
2008-03-20,117.55,117.55,117.9,117.35,117.86,,2008-03-20 19:59:59-04:00
2008-03-25,116.25,116.25,117.02,116.12,117.01,,2008-03-25 19:59:59-04:00
2008-03-26,116.04,116.04,116.47,115.92,116.24,,2008-03-26 19:59:59-04:00
2008-03-27,115.77,115.77,116.06,115.58,116.04,,2008-03-27 19:59:59-04:00
2008-03-28,115.73,115.73,115.93,113.93,115.61,,2008-03-28 19:59:59-04:00
2008-03-31,115.98,115.98,116.12,115.68,115.81,,2008-03-31 19:59:59-04:00
2008-04-01,115.34,115.34,116.03,115.13,115.94,,2008-04-01 19:59:59-04:00
2008-04-02,115.18,115.18,115.51,115.04,115.22,,2008-04-02 19:59:59-04:00
2008-04-03,115.29,115.29,115.47,115.09,115.23,,2008-04-03 19:59:59-04:00
2008-04-04,115.54,115.54,115.77,115.17,115.19,,2008-04-04 19:59:59-04:00
2008-04-07,115.04,115.04,115.34,114.84,115.28,,2008-04-07 19:59:59-04:00
2008-04-08,114.96,114.96,115.28,114.88,115.07,,2008-04-08 19:59:59-04:00
2008-04-09,114.91,114.91,115.39,114.67,114.96,,2008-04-09 19:59:59-04:00
2008-04-10,115.33,115.33,115.72,115.14,115.3,,2008-04-10 19:59:59-04:00
2008-04-11,115.87,115.87,116.04,115.08,115.14,,2008-04-11 19:59:59-04:00
2008-04-14,115.97,115.97,116.13,115.74,115.96,,2008-04-14 19:59:59-04:00
2008-04-15,115.53,115.53,116.06,115.32,115.86,,2008-04-15 19:59:59-04:00
2008-04-16,114.87,114.87,115.43,114.77,115.32,,2008-04-16 19:59:59-04:00
2008-04-17,114.48,114.48,114.92,114.24,114.86,,2008-04-17 19:59:59-04:00
2008-04-18,113.93,113.93,114.5,113.63,114.42,,2008-04-18 19:59:59-04:00
2008-04-21,114.07,114.07,114.32,113.9,114.01,,2008-04-21 19:59:59-04:00
2008-04-22,113.76,113.76,114.24,113.58,114.24,,2008-04-22 19:59:59-04:00
2008-04-23,113.9,113.9,114.09,113.8,113.96,,2008-04-23 19:59:59-04:00
2008-04-24,113.55,113.55,114.46,113.48,113.84,,2008-04-24 19:59:59-04:00
2008-04-25,113.68,113.68,113.84,113.1,113.45,,2008-04-25 19:59:59-04:00
2008-04-28,113.53,113.53,113.75,113.34,113.49,,2008-04-28 19:59:59-04:00
2008-04-29,114.05,114.05,114.1,113.42,113.49,,2008-04-29 19:59:59-04:00
2008-04-30,114.07,114.07,114.17,113.83,113.83,,2008-04-30 19:59:59-04:00
2008-05-02,113.42,113.42,114.32,113.28,114.03,,2008-05-02 19:59:59-04:00
2008-05-05,113.77,113.77,113.88,113.51,113.55,,2008-05-05 19:59:59-04:00
2008-05-06,113.98,113.98,114.18,113.56,113.66,,2008-05-06 19:59:59-04:00
2008-05-07,113.57,113.57,113.85,113.45,113.6,,2008-05-07 19:59:59-04:00
2008-05-08,114.53,114.53,114.73,113.78,113.88,,2008-05-08 19:59:59-04:00
2008-05-09,115.14,115.14,115.29,114.51,114.69,,2008-05-09 19:59:59-04:00
2008-05-12,115.02,115.02,115.2,114.78,115.09,,2008-05-12 19:59:59-04:00
2008-05-13,114.35,114.35,115.21,114.1,114.84,,2008-05-13 19:59:59-04:00
2008-05-14,113.72,113.72,114.18,113.48,114.12,,2008-05-14 19:59:59-04:00
2008-05-15,113.18,113.18,113.68,112.81,113.63,,2008-05-15 19:59:59-04:00
2008-05-16,113.63,113.63,113.68,113.14,113.4,,2008-05-16 19:59:59-04:00
2008-05-19,113.25,113.25,113.78,113.13,113.5,,2008-05-19 19:59:59-04:00
2008-05-20,113.58,113.58,113.69,113.26,113.36,,2008-05-20 19:59:59-04:00
2008-05-21,112.97,112.97,113.71,112.86,113.66,,2008-05-21 19:59:59-04:00
2008-05-22,112.67,112.67,113.13,112.64,112.98,,2008-05-22 19:59:59-04:00
2008-05-23,113.06,113.06,113.29,112.53,112.66,,2008-05-23 19:59:59-04:00
2008-05-26,112.83,112.83,113.02,112.7,113.01,,2008-05-26 19:59:59-04:00
2008-05-27,112.7,112.7,113.01,112.53,112.68,,2008-05-27 19:59:59-04:00
2008-05-28,112.33,112.33,112.66,112.22,112.63,,2008-05-28 19:59:59-04:00
2008-05-29,111.59,111.59,112.24,111.49,112.15,,2008-05-29 19:59:59-04:00
2008-05-30,111.92,111.92,112.15,111.68,111.78,,2008-05-30 19:59:59-04:00
2008-06-02,112.33,112.33,112.48,111.71,111.76,,2008-06-02 19:59:59-04:00
2008-06-03,111.61,111.61,112.67,111.57,112.45,,2008-06-03 19:59:59-04:00
2008-06-04,112.05,112.05,112.33,111.86,112.05,,2008-06-04 19:59:59-04:00
2008-06-05,111.37,111.37,111.93,111.19,111.84,,2008-06-05 19:59:59-04:00
2008-06-06,111.66,111.66,111.72,111.23,111.23,,2008-06-06 19:59:59-04:00
2008-06-09,111.33,111.33,113.29,111.2,112.0,,2008-06-09 19:59:59-04:00
2008-06-10,111.17,111.17,111.42,110.78,111.18,,2008-06-10 19:59:59-04:00
2008-06-11,110.88,110.88,111.32,110.52,110.76,,2008-06-11 19:59:59-04:00
2008-06-12,110.42,110.42,110.85,110.22,110.72,,2008-06-12 19:59:59-04:00
2008-06-13,109.87,109.87,110.48,109.8,110.3,,2008-06-13 19:59:59-04:00
2008-06-16,110.09,110.09,110.37,109.8,110.0,,2008-06-16 19:59:59-04:00
2008-06-17,110.2,110.2,110.47,110.09,110.26,,2008-06-17 19:59:59-04:00
2008-06-18,110.3,110.3,110.5,110.19,110.28,,2008-06-18 19:59:59-04:00
2008-06-19,109.8,109.8,110.74,109.65,110.33,,2008-06-19 19:59:59-04:00
2008-06-20,110.26,110.26,110.42,109.85,109.93,,2008-06-20 19:59:59-04:00
2008-06-23,110.48,110.48,110.7,110.1,110.11,,2008-06-23 19:59:59-04:00
