Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-0.49373395485463967,-0.49373395485463967
2024-10-14,5.0,-0.3440137046556633,-0.3440137046556633
2024-10-16,5.0,-0.3440137046556633,-0.3440137046556633
2024-10-17,3.5,-0.5685940799541279,-0.5685940799541279
2024-10-20,4.5,-0.41887382975515147,-0.41887382975515147
2024-10-21,6.5,-0.11943332935719873,-0.11943332935719873
2024-10-22,6.0,-0.19429345445668691,-0.19429345445668691
2024-10-23,6.0,-0.19429345445668691,-0.19429345445668691
2024-10-24,6.0,-0.19429345445668691,-0.19429345445668691
2024-10-27,19.0,1.752069798130006,1.752069798130006
2024-10-28,5.0,-0.3440137046556633,-0.3440137046556633
2024-10-29,5.5,-0.26915357955617514,-0.26915357955617514
2024-11-03,8.0,0.10514704594126582,0.10514704594126582
2024-11-04,5.0,-0.3440137046556633,-0.3440137046556633
2024-11-05,50.0,6.393397554298273,6.393397554298273
2024-11-06,4.5,-0.41887382975515147,-0.41887382975515147
2024-11-07,7.0,-0.044573204257710546,-0.044573204257710546
2024-11-10,8.5,0.180007171040754,0.180007171040754
2024-11-11,6.5,-0.11943332935719873,-0.11943332935719873
2024-11-17,4.5,-0.41887382975515147,-0.41887382975515147
2024-11-18,4.5,-0.41887382975515147,-0.41887382975515147
2024-11-19,4.5,-0.41887382975515147,-0.41887382975515147
2024-11-20,2.5,-0.7183143301531042,-0.7183143301531042
2024-11-21,3.5,-0.5685940799541279,-0.5685940799541279
2024-11-24,9.5,0.32972742123973037,0.32972742123973037
2024-11-25,6.5,-0.11943332935719873,-0.11943332935719873
2024-11-26,3.0,-0.6434542050536161,-0.6434542050536161
2024-11-28,3.5,-0.5685940799541279,-0.5685940799541279
2024-12-01,9.0,0.2548672961402422,0.2548672961402422
2024-12-02,7.5,0.03028692084177764,0.03028692084177764
2024-12-03,6.0,-0.19429345445668691,-0.19429345445668691
2024-12-04,4.0,-0.49373395485463967,-0.49373395485463967
2024-12-05,4.5,-0.41887382975515147,-0.41887382975515147
2024-12-08,5.0,-0.3440137046556633,-0.3440137046556633
2024-12-10,4.0,-0.49373395485463967,-0.49373395485463967
