Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-0.6431233525750674,-0.6431233525750674
2024-10-14,2.0,-0.20411995223940402,-0.20411995223940402
2024-10-15,0.75,-0.7528742026589832,-0.7528742026589832
2024-10-16,1.375,-0.47849707744919356,-0.47849707744919356
2024-10-17,0.875,-0.6979987776170252,-0.6979987776170252
2024-10-20,1.125,-0.5882479275331094,-0.5882479275331094
2024-10-21,1.625,-0.36874622736527773,-0.36874622736527773
2024-10-22,2.25,-0.09436910215548819,-0.09436910215548819
2024-10-23,2.125,-0.1492445271974461,-0.1492445271974461
2024-10-24,1.375,-0.47849707744919356,-0.47849707744919356
2024-10-27,3.375,0.399509723222133,0.399509723222133
2024-10-28,1.375,-0.47849707744919356,-0.47849707744919356
2024-10-29,1.25,-0.5333725024911515,-0.5333725024911515
2024-11-03,2.5,0.015381747928427645,0.015381747928427645
2024-11-04,1.25,-0.5333725024911515,-0.5333725024911515
2024-11-05,13.0,4.624917451452893,4.624917451452893
2024-11-06,2.0,-0.20411995223940402,-0.20411995223940402
2024-11-07,1.625,-0.36874622736527773,-0.36874622736527773
2024-11-10,2.0,-0.20411995223940402,-0.20411995223940402
2024-11-11,1.5,-0.42362165240723565,-0.42362165240723565
2024-11-12,1.5,-0.42362165240723565,-0.42362165240723565
2024-11-17,1.5,-0.42362165240723565,-0.42362165240723565
2024-11-18,1.125,-0.5882479275331094,-0.5882479275331094
2024-11-19,1.25,-0.5333725024911515,-0.5333725024911515
2024-11-20,1.0,-0.6431233525750674,-0.6431233525750674
2024-11-21,1.125,-0.5882479275331094,-0.5882479275331094
2024-11-24,2.0,-0.20411995223940402,-0.20411995223940402
2024-11-25,2.0,-0.20411995223940402,-0.20411995223940402
2024-11-26,1.125,-0.5882479275331094,-0.5882479275331094
2024-11-28,1.25,-0.5333725024911515,-0.5333725024911515
2024-12-01,2.125,-0.1492445271974461,-0.1492445271974461
2024-12-02,4.25,0.7836376985158384,0.7836376985158384
2024-12-03,4.375,0.8385131235577964,0.8385131235577964
2024-12-04,1.25,-0.5333725024911515,-0.5333725024911515
