Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.125,-1.0885678549976059,-1.0885678549976059
2024-10-15,1.75,-0.8398882695293407,-0.8398882695293407
2024-10-16,1.75,-0.8398882695293407,-0.8398882695293407
2024-10-17,1.125,-1.0885678549976059,-1.0885678549976059
2024-10-18,1.125,-1.0885678549976059,-1.0885678549976059
2024-10-21,2.875,-0.39226501568646344,-0.39226501568646344
2024-10-22,2.25,-0.6409446011547286,-0.6409446011547286
2024-10-23,1.75,-0.8398882695293407,-0.8398882695293407
2024-10-24,3.0,-0.3425290985928104,-0.3425290985928104
2024-10-25,4.25,0.1548300723437199,0.1548300723437199
2024-10-28,3.75,-0.04411359603089222,-0.04411359603089222
2024-10-29,3.75,-0.04411359603089222,-0.04411359603089222
2024-11-04,4.75,0.353773740718332,0.353773740718332
2024-11-05,4.375,0.20456598943737295,0.20456598943737295
2024-11-06,4.125,0.10509415525006688,0.10509415525006688
2024-11-07,4.5,0.25430190653102597,0.25430190653102597
2024-11-08,4.125,0.10509415525006688,0.10509415525006688
2024-11-11,1.25,-1.0388319379039528,-1.0388319379039528
2024-11-12,2.5,-0.5414727669674225,-0.5414727669674225
2024-11-15,6.875,1.1992843313104335,1.1992843313104335
2024-11-18,3.25,-0.24305726440550435,-0.24305726440550435
2024-11-19,2.0,-0.7404164353420346,-0.7404164353420346
2024-11-20,1.75,-0.8398882695293407,-0.8398882695293407
2024-11-21,4.625,0.304037823624679,0.304037823624679
2024-11-22,1.875,-0.7901523524356877,-0.7901523524356877
2024-11-25,3.375,-0.19332134731185133,-0.19332134731185133
2024-11-26,2.125,-0.6906805182483816,-0.6906805182483816
2024-11-28,0.625,-1.287511523372218,-1.287511523372218
2024-11-29,5.375,0.6024533261865972,0.6024533261865972
2024-12-02,6.875,1.1992843313104335,1.1992843313104335
2024-12-03,5.625,0.7019251603739033,0.7019251603739033
2024-12-04,4.0,0.055358238156413844,0.055358238156413844
2024-12-05,5.25,0.5527174090929442,0.5527174090929442
2024-12-09,3.5,-0.14358543021819828,-0.14358543021819828
2024-12-10,4.625,0.304037823624679,0.304037823624679
2024-12-13,3.25,-0.24305726440550435,-0.24305726440550435
2024-12-16,2.0,-0.7404164353420346,-0.7404164353420346
2024-12-17,1.375,-0.9890960208102998,-0.9890960208102998
2024-12-18,10.625,2.6913618441200247,2.6913618441200247
2024-12-23,2.375,-0.5912086840610755,-0.5912086840610755
2024-12-24,2.75,-0.4420009327801165,-0.4420009327801165
2024-12-26,4.0,0.055358238156413844,0.055358238156413844
2024-12-27,2.875,-0.39226501568646344,-0.39226501568646344
2024-12-30,1.75,-0.8398882695293407,-0.8398882695293407
2024-12-31,3.875,0.005622321062760811,0.005622321062760811
2025-01-02,4.625,0.304037823624679,0.304037823624679
2025-01-03,2.625,-0.4917368498737695,-0.4917368498737695
2025-01-06,2.5,-0.5414727669674225,-0.5414727669674225
2025-01-07,2.5,-0.5414727669674225,-0.5414727669674225
2025-01-08,2.0,-0.7404164353420346,-0.7404164353420346
2025-01-09,1.5,-0.9393601037166468,-0.9393601037166468
2025-01-13,1.875,-0.7901523524356877,-0.7901523524356877
2025-01-16,6.25,0.9506047458421684,0.9506047458421684
2025-01-17,2.5,-0.5414727669674225,-0.5414727669674225
2025-01-20,1.875,-0.7901523524356877,-0.7901523524356877
2025-01-21,1.875,-0.7901523524356877,-0.7901523524356877
2025-01-22,3.0,-0.3425290985928104,-0.3425290985928104
2025-01-23,2.125,-0.6906805182483816,-0.6906805182483816
2025-01-24,2.375,-0.5912086840610755,-0.5912086840610755
2025-01-27,3.25,-0.24305726440550435,-0.24305726440550435
2025-01-28,2.375,-0.5912086840610755,-0.5912086840610755
2025-01-29,5.375,0.6024533261865972,0.6024533261865972
2025-02-03,4.125,0.10509415525006688,0.10509415525006688
2025-02-04,1.75,-0.8398882695293407,-0.8398882695293407
2025-02-05,1.75,-0.8398882695293407,-0.8398882695293407
2025-02-06,2.25,-0.6409446011547286,-0.6409446011547286
2025-02-10,2.5,-0.5414727669674225,-0.5414727669674225
2025-02-11,1.5,-0.9393601037166468,-0.9393601037166468
2025-02-14,1.875,-0.7901523524356877,-0.7901523524356877
2025-02-17,0.5,-1.337247440465871,-1.337247440465871
2025-02-18,2.5,-0.5414727669674225,-0.5414727669674225
2025-02-19,2.0,-0.7404164353420346,-0.7404164353420346
2025-02-20,1.125,-1.0885678549976059,-1.0885678549976059
2025-02-21,4.25,0.1548300723437199,0.1548300723437199
2025-02-24,2.375,-0.5912086840610755,-0.5912086840610755
2025-02-25,2.75,-0.4420009327801165,-0.4420009327801165
2025-02-26,7.875,1.5971716680596577,1.5971716680596577
2025-03-03,6.125,0.9008688287485154,0.9008688287485154
2025-03-04,12.5,3.4374006005248194,3.4374006005248194
2025-03-05,7.5,1.4479639167786986,1.4479639167786986
2025-03-06,7.0,1.2490202484040867,1.2490202484040867
2025-03-10,5.5,0.6521892432802502,0.6521892432802502
2025-03-11,7.375,1.3982279996850457,1.3982279996850457
2025-03-14,4.0,0.055358238156413844,0.055358238156413844
2025-03-17,4.375,0.20456598943737295,0.20456598943737295
2025-03-18,4.375,0.20456598943737295,0.20456598943737295
2025-03-19,7.375,1.3982279996850457,1.3982279996850457
2025-03-20,3.625,-0.09384951312454526,-0.09384951312454526
2025-03-21,3.25,-0.24305726440550435,-0.24305726440550435
2025-03-24,1.75,-0.8398882695293407,-0.8398882695293407
2025-03-25,2.25,-0.6409446011547286,-0.6409446011547286
2025-03-26,2.75,-0.4420009327801165,-0.4420009327801165
2025-03-31,4.0,0.055358238156413844,0.055358238156413844
2025-04-01,3.25,-0.24305726440550435,-0.24305726440550435
2025-04-02,6.375,1.0003406629358214,1.0003406629358214
2025-04-03,5.875,0.8013969945612093,0.8013969945612093
2025-04-04,13.25,3.7358161030867376,3.7358161030867376
2025-04-07,10.625,2.6913618441200247,2.6913618441200247
2025-04-08,9.125,2.0945308389961883,2.0945308389961883
2025-04-09,14.0,4.034231605648656,4.034231605648656
2025-04-14,6.25,0.9506047458421684,0.9506047458421684
2025-04-15,4.375,0.20456598943737295,0.20456598943737295
2025-04-16,5.125,0.5029814919992911,0.5029814919992911
2025-04-17,4.0,0.055358238156413844,0.055358238156413844
2025-04-21,4.75,0.353773740718332,0.353773740718332
2025-04-22,3.0,-0.3425290985928104,-0.3425290985928104
2025-04-23,4.875,0.40350965781198506,0.40350965781198506
2025-04-24,2.875,-0.39226501568646344,-0.39226501568646344
2025-04-25,4.25,0.1548300723437199,0.1548300723437199
2025-04-28,5.0,0.4532455749056381,0.4532455749056381
2025-04-29,2.125,-0.6906805182483816,-0.6906805182483816
2025-05-01,5.5,0.6521892432802502,0.6521892432802502
2025-05-05,2.25,-0.6409446011547286,-0.6409446011547286
2025-05-06,3.0,-0.3425290985928104,-0.3425290985928104
2025-05-07,1.875,-0.7901523524356877,-0.7901523524356877
