"(Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,112.0,113.0,112.0,105.0,134.0,149.0
mean,4.25,4.048672566371682,5.691964285714286,2.3,3.578358208955224,8.661073825503356
std,3.8590014112321716,3.70325906283544,4.320100482499589,2.1049392463368704,5.031051877941742,10.817632699324097
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.27500000000000036,0.0,0.5,0.5,0.0,0.5
25%,1.5,1.5,2.0,1.0,1.5,2.0
50%,3.5,3.0,5.0,2.0,2.5,6.0
68%,5.5,4.5,7.5,2.5,3.5,10.32
90%,8.0,8.5,10.5,4.5,6.850000000000001,18.0
95%,10.0,11.499999999999979,13.674999999999983,6.299999999999997,9.5,22.299999999999997
99%,15.445,15.379999999999995,16.5,9.919999999999987,23.549999999999812,58.22000000000011
99.7%,23.50400000000002,19.48400000000001,17.167,11.720000000000006,39.317999999999984,76.56600000000027
max,27.5,21.5,17.5,12.5,46.5,87.0
