"(Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,53.0,54.0,53.0,49.0,52.0,70.0
mean,1.2688679245283019,1.6643518518518519,1.6061320754716981,0.5229591836734694,0.7668269230769231,2.0517857142857143
std,0.7884366478070544,1.5747536633643768,1.349723134540161,0.45548842645302534,1.0055083724684106,1.9901811576770267
min,0.125,0.0,0.0,0.0,0.0,0.0
5%,0.2,0.125,0.2,0.0,0.125,0.125
25%,0.625,0.625,0.625,0.125,0.34375,0.53125
50%,1.125,1.25,1.375,0.5,0.5625,1.8125
68%,1.5,1.63,1.795,0.75,0.71,2.375
90%,2.325000000000001,3.512500000000001,3.325000000000001,1.1750000000000007,1.5999999999999996,4.050000000000001
95%,2.7749999999999995,4.837499999999999,3.8999999999999986,1.5,1.8062499999999995,7.174999999999997
99%,3.0599999999999996,6.5937499999999964,5.649999999999994,1.5,4.38625000000001,8.24125
99.7%,3.1055,7.753125000000003,6.332500000000002,1.5,6.215875000000007,8.422375000000002
max,3.125,8.25,6.625,1.5,7.0,8.5
