"(Vol Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,101.0,102.0,102.0,96.0,113.0,131.0
mean,2.990158232131809,3.2659313725490198,3.8762254901960786,1.9375203450520833,2.5121681415929205,5.7051675811068705
std,1.9025727055416062,1.9539620488415195,2.633531344922697,1.7509374071384427,2.4372690253300155,4.011460428156979
min,0.875,0.5,0.5,0.375,0.75,0.875
5%,1.25,1.13125,1.13125,0.625,0.875,1.375
25%,1.75,1.90625,2.0,1.0,1.25,3.1875
50%,2.375,2.625,3.25,1.25,1.625,4.75
68%,3.125,3.5,4.25,1.825781250000001,2.125,6.300000000000001
90%,5.5,6.112500000000001,6.987500000000001,3.875,5.449999999999999,10.25
95%,6.625,7.468749999999993,9.062499999999986,5.75,6.625,14.375
99%,10.875,8.74875,13.242499999999996,8.243749999999993,12.954999999999998,17.362499999999976
99.7%,11.400000000000002,9.447000000000003,13.772750000000002,9.823125000000008,14.660000000000004,23.108750000000114
max,11.625,9.75,14.0,10.5,15.5,26.375
