,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,32.0,33.0,38.0,29.0,31.0,43.0
mean,6.765625,3.5681818181818183,2.5197368421052633,1.603448275862069,3.346774193548387,7.215116279069767
std,2.539159039727968,1.2582116637947254,1.1454693050781608,0.9944426862105404,1.5648181728170514,3.180849221807211
min,2.0,1.75,0.75,0.75,0.5,1.5
5%,3.775,1.75,0.9625,0.75,1.5,3.025
25%,5.1875,2.5,1.75,1.0,2.375,5.0
50%,6.0,3.25,2.25,1.25,3.0,7.25
68%,7.5,4.25,3.04,1.5,3.5,8.0
90%,11.100000000000003,5.0,3.900000000000002,3.75,5.5,11.900000000000002
95%,12.0,5.549999999999999,4.5375,3.75,6.0,12.674999999999999
99%,12.345,6.17,5.380000000000003,3.9299999999999997,7.224999999999999,14.909999999999997
99.7%,12.4535,6.226,5.639000000000003,3.979,7.5925,15.498000000000005
max,12.5,6.25,5.75,4.0,7.75,15.75
