,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,360.0,365.0,365.0,359.0,340.0,449.0
mean,2.2506944444444446,3.0773972602739725,2.0075342465753425,0.5724958244472512,1.3169117647058823,4.767278250713393
std,1.94943912110051,2.6510033490333202,1.8074683138452854,0.7764545327691524,1.3596213004683113,4.555483881958664
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.25,0.75,0.0,0.5,1.25
50%,2.0,2.5,1.5,0.25,1.0,3.75
68%,2.75,3.5,2.5,0.75,1.5,5.75
90%,4.5,6.25,4.0,1.5,2.5,10.549999999999997
95%,5.25,8.200000000000003,5.0,2.0249999999999915,3.512500000000003,13.149999999999991
99%,8.82000000000005,12.590000000000003,8.340000000000003,3.5,5.152500000000003,21.00999999999999
99.7%,11.75,14.658000000000015,11.520000000000039,4.212999999999994,7.224500000000006,23.914
max,19.0,16.75,14.25,4.5,15.75,26.5
