"(Vol Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,51.0,52.0,52.0,48.0,52.0,68.0
mean,0.9608129420343193,1.460336584615382,1.367788384615389,0.6015726225260446,0.7920672000000064,1.9172865688419132
std,0.5638676443513557,1.037592245376811,0.8257919326247308,0.6154359140408455,0.8070348327587569,1.160984381465093
min,0.3124992000000475,0.25,0.25,0.25,0.375,0.375
5%,0.4375,0.5125000000000001,0.534375,0.25,0.375,0.459375
25%,0.6562496000000237,0.9218744000000356,0.8593748000000119,0.375,0.4375,1.1093751999999881
50%,0.8125,1.1875,1.1875003999999763,0.46875039999997625,0.5625,1.6874996000000237
68%,0.9375,1.375,1.4174994560000322,0.5,0.6875,2.125
90%,1.5,2.5500007999999523,2.3499999999999996,0.7062500000000003,0.9937499200000046,3.593750239999987
95%,1.96875,3.7812499999999973,2.849999999999998,1.2593747200000156,2.3124995600000156,4.51249948000003
99%,2.9375,4.960625000000002,4.279375,3.27312537599998,4.028124608000024,5.039999999999999
99.7%,3.5062500000000023,5.2506875000000015,4.3463125,3.8694376127999965,4.139686822400041,5.274500000000003
max,3.75,5.375,4.375,4.125,4.1874992000000475,5.375
