,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,360.0,365.0,365.0,359.0,340.0,449.0
mean,4.979905531141494,6.845205479452055,6.088356164383562,2.5592313038605483,3.5654411764705882,9.817407552808325
std,2.9256712490035057,3.9189081337037557,3.296096598233484,2.0372026846176,2.4373303942647726,5.642068998964086
min,1.5,1.25,1.0,0.5,1.25,1.25
5%,2.25,2.75,2.5,1.0,1.5,2.5
25%,3.25,4.25,3.75,1.5,2.25,6.0
50%,4.25,5.75,5.5,2.0,3.0,9.0
68%,5.0,7.25,6.75,2.25,3.5,11.0
90%,8.275000000000006,12.0,10.25,4.75,6.0,16.799999999999997
95%,10.0,15.650000000000006,12.700000000000003,8.0,9.0,20.75
99%,16.672500000000056,20.25,16.880000000000024,10.605000000000004,12.555000000000007,27.629999999999995
99.7%,21.653750000000002,21.908000000000015,19.454000000000008,11.231499999999997,14.978750000000005,31.25
max,26.75,25.5,24.75,11.5,23.25,43.25
