datetime,events,year,tier,IND_MACRO,IND_Tier1,IND_Tier2,IND_Tier3,IND_FED,IND_Tier4
2015-01-02,Markit Manufacturing PMI Final DEC,2015,2,1,0,1,0,0,0
2015-01-02,Construction Spending MoM NOV,2015,4,0,0,0,0,0,1
2015-01-02,ISM Manufacturing Employment DEC,2015,4,0,0,0,0,0,1
2015-01-02,ISM Manufacturing New Orders DEC,2015,4,0,0,0,0,0,1
2015-01-02,ISM Manufacturing PMI DEC,2015,2,1,0,1,0,0,0
2015-01-02,ISM Prices Paid DEC,2015,4,0,0,0,0,0,1
2015-01-05,ISM New York Index DEC,2015,4,0,0,0,0,0,1
2015-01-05,3-Month Bill Auction,2015,3,1,0,0,1,0,0
2015-01-05,6-Month Bill Auction,2015,3,1,0,0,1,0,0
2015-01-06,Total Vehicle Sales DEC,2015,4,0,0,0,0,0,1
2015-01-06,Redbook MoM DEC/31,2015,4,0,0,0,0,0,1
2015-01-06,Redbook YoY DEC/31,2015,4,0,0,0,0,0,1
2015-01-06,Markit Composite PMI Final DEC 2014,2015,2,1,0,1,0,0,0
2015-01-06,Markit Services PMI Final DEC,2015,2,1,0,1,0,0,0
2015-01-06,Factory Orders MoM NOV,2015,4,0,0,0,0,0,1
2015-01-06,ISM Non-Manufacturing Business Activity DEC,2015,4,0,0,0,0,0,1
2015-01-06,ISM Non-Manufacturing Employment DEC,2015,4,0,0,0,0,0,1
2015-01-06,ISM Non-Manufacturing New Orders DEC,2015,4,0,0,0,0,0,1
2015-01-06,ISM Non-Manufacturing PMI JAN,2015,2,1,0,1,0,0,0
2015-01-06,ISM Non-Manufacturing Prices DEC,2015,4,0,0,0,0,0,1
2015-01-06,Factory Orders ex Transportation NOV,2015,4,0,0,0,0,0,1
2015-01-06,4-Week Bill Auction,2015,3,1,0,0,1,0,0
2015-01-06,52-Week Bill Auction,2015,3,1,0,0,1,0,0
2015-01-07,MBA 30-Year Mortgage Rate JAN/03,2015,4,0,0,0,0,0,1
