,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,43.0,43.0,43.0,43.0,43.0,51.0
mean,4.22093023255814,5.848837209302325,5.366279069767442,2.4011627906976742,3.0755813953488373,8.436274509803921
std,1.6331838813356891,2.908904399632541,2.206152677071896,1.045312004692346,3.293452597362561,4.322280398486111
min,1.75,3.0,1.75,1.0,1.25,1.5
5%,2.0,3.25,2.075,1.25,1.275,2.875
25%,3.5,3.75,3.5,1.625,2.0,5.875
50%,3.75,5.0,5.5,2.25,2.5,7.75
68%,4.25,6.140000000000001,6.390000000000001,2.5,2.75,9.5
90%,5.950000000000001,10.0,8.0,3.75,3.75,12.75
95%,7.174999999999999,10.7,8.25,4.424999999999999,4.25,16.375
99%,9.199999999999996,14.579999999999998,10.79,5.25,16.00499999999997,21.5
99.7%,9.935000000000006,14.874000000000002,10.937000000000001,5.25,21.07650000000004,22.725000000000005
max,10.25,15.0,11.0,5.25,23.25,23.25
