,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,21.0,21.0,21.0,21.0,17.0,23.0
mean,1.9642857142857142,2.392857142857143,1.9523809523809523,0.6428571428571429,1.661764705882353,3.7934782608695654
std,1.0316422414217608,1.7058198699075549,1.340753164314389,0.48458376837387834,2.3149331396773585,4.0231236266631205
min,0.25,0.0,0.5,0.0,0.25,0.0
5%,0.75,0.0,0.5,0.0,0.25,0.275
25%,1.0,0.75,0.75,0.25,0.75,0.875
50%,2.0,2.5,2.0,0.75,1.0,2.75
68%,2.4000000000000004,3.4000000000000004,2.4000000000000004,0.9000000000000004,1.7200000000000002,4.0
90%,3.75,4.5,3.75,1.0,2.1,7.400000000000001
95%,3.75,4.5,4.25,1.5,3.8499999999999943,10.674999999999995
99%,3.75,5.300000000000001,4.65,1.7000000000000002,8.969999999999999,16.265000000000008
99.7%,3.75,5.440000000000001,4.720000000000001,1.7350000000000003,9.866,17.304500000000008
max,3.75,5.5,4.75,1.75,10.25,17.75
