,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,21.0,21.0,21.0,21.0,17.0,23.0
mean,4.0120965866815474,5.892857142857143,5.357142857142857,2.0359061104910716,3.4411764705882355,8.673913043478262
std,1.235989499779419,2.278392290316009,1.8329815679846395,0.5822977624407251,2.531874015311932,3.84606852292103
min,1.75,2.0,2.0,1.25,1.5,3.0
5%,2.25,3.0,3.25,1.25,2.1,3.25
25%,3.25,4.25,3.75,1.5040283203125,2.5,7.0
50%,3.75,6.25,5.25,2.0,2.75,8.25
68%,4.65,6.9,5.9,2.25,3.25,9.49
90%,5.75,8.25,7.75,2.75,3.75,12.05
95%,6.0,10.0,8.0,3.0,5.599999999999993,12.7
99%,6.2,10.2,9.400000000000002,3.4000000000000004,11.52,19.57500000000001
99.7%,6.235,10.235,9.645000000000003,3.4700000000000006,12.556,20.92250000000001
max,6.25,10.25,9.75,3.5,13.0,21.5
